Page,Line,Phrase,Keyword,"Keyword Translation","Target Text","Target Modern","Target English","Target Comments","Gloss Text","Gloss English","Gloss Comments","Modern Speech","Modern Speech Comments","Audio Clip Name","Audio Start Time","Audio End Time","Video Clip Name","Video Start Time","Video End Time","Image Name",Speakers,Dialects,Semantics,Syntaxes,Stems,"Cognate Comments","Cognate Form","Cognate Translations","Cognate Sources","Cognate Languages"
5,4,1,,,wishištúlia,,,,blacksmith,,,,,.mp3,,,.mp4,,,gatschet236_005.jpg,"Frank Beaver",,,,,,,,,
5,4,2,,,-agi,,,,"pl. (blacksmiths)",,,,,.mp3,,,.mp4,,,gatschet236_005.jpg,"Frank Beaver",,,,,,,,,
5,4,3,,,-áki,,,,"pl. (blacksmiths)",,,,,.mp3,,,.mp4,,,gatschet236_005.jpg,"Frank Beaver",,,,,,,,,
5,5,1,,,pokandákane,,,,"hammer, generic",,,,,.mp3,,,.mp4,,,gatschet236_005.jpg,"Frank Beaver",,,,,,,,,
5,6,1,,,"nila pokandánga",,,,"I am pounding",,,,,.mp3,,,.mp4,,,gatschet236_005.jpg,"Frank Beaver",,,,,,,,,
5,7,1,,,"nila wishishtúlia",,,,"I am pounding into shape",,,,,.mp3,,,.mp4,,,gatschet236_005.jpg,"Frank Beaver",,,,,,,,,
5,8,1,,,"wishishtúlia eyukí",,,,"anvil ""for blacksmiths use""",,,,,.mp3,,,.mp4,,,gatschet236_005.jpg,"Frank Beaver",,,,,,,,,
5,10,1,,,mäshik,,,,,,,,,.mp3,,,.mp4,,,gatschet236_005.jpg,"Frank Beaver",,,,,,,,,
5,11,1,,,"mä́shaki pokandakáne",,,,"sledge (""big-"") hammer",,,,,.mp3,,,.mp4,,,gatschet236_005.jpg,"Frank Beaver",,,,,,,,,
5,12,1,,,tawälä́nia,,,"added later: tawä=länia",merchant,,,,,.mp3,,,.mp4,,,gatschet236_005.jpg,"Frank Beaver",,,,,,,,,
5,13,1,,,táwä,,,"AG notes, ""pg. 36""",seller,,,,,.mp3,,,.mp4,,,gatschet236_005.jpg,"Frank Beaver",,,,,,,,,
5,13,2,,,lä́nia,,,,man,,,,,.mp3,,,.mp4,,,gatschet236_005.jpg,"Frank Beaver",,,,,,,,,
5,13,3,,,läniáki,,,,"pl. (men)",,,,,.mp3,,,.mp4,,,gatschet236_005.jpg,"Frank Beaver",,,,,,,,,
5,14,1,,,tchekiki⁐kǘ,,,,"merchandise, goods; 1) several things",,,,,.mp3,,,.mp4,,,gatschet236_005.jpg,"Frank Beaver",,,,,,,,,
5,14,2,,,tchekiki⁐kǘ,,,,"several things",,,,,.mp3,,,.mp4,,,gatschet236_005.jpg,"Frank Beaver",,,,,,,,,
5,15,1,,,tawä-läníkan,,,,"storehouse, warehouse",,,,,.mp3,,,.mp4,,,gatschet236_005.jpg,"Frank Beaver",,,,,,,,,
5,15,2,,,-níkana,,,,"pl. (storehouses, warehouses)",,,,,.mp3,,,.mp4,,,gatschet236_005.jpg,"Frank Beaver",,,,,,,,,
5,16,1,,,ilákindäk,,,,"price (also value)",,,,,.mp3,,,.mp4,,,gatschet236_005.jpg,"Frank Beaver",,,,,,,,,
5,16,2,,,-däkí,,,,"pl. (prices) (also values)",,,,,.mp3,,,.mp4,,,gatschet236_005.jpg,"Frank Beaver",,,,,,,,,
5,18,1,,,"
níla ätawián äkapákindäk",,,,"I sell cheap",,,,,.mp3,,,.mp4,,,gatschet236_005.jpg,"Frank Beaver",,,,,,,,,
5,19,1,,,"níla wessw’|akindáman",,,,"I sell dear (not yet/all in one verb)",,"AG note ""see 155""",,,.mp3,,,.mp4,,,gatschet236_005.jpg,"Frank Beaver",,,,,,,,,
