Page,Line,Phrase,Keyword,"Keyword Translation","Target Text","Target Modern","Target English","Target Comments","Gloss Text","Gloss English","Gloss Comments","Modern Speech","Modern Speech Comments","Audio Clip Name","Audio Start Time","Audio End Time","Video Clip Name","Video Start Time","Video End Time","Image Name",Speakers,Dialects,Semantics,Syntaxes,Stems,"Cognate Comments","Cognate Form","Cognate Translations","Cognate Sources","Cognate Languages"
1,1,1,,,,,,,"Vocabulary of the Shawanese language",,,,,.mp3,,,.mp4,,,heckewelder_1.jpg,,,,,,,,,,
1,3,1,,,,,,,"Shawano Words",,,,,.mp3,,,.mp4,,,heckewelder_1.jpg,,,,,,,,,,
1,4,1,,,,,,,"taken down by means of a White Woman who had been 20 Years a Prisoner with that Nation.",,,,,.mp3,,,.mp4,,,heckewelder_1.jpg,,,,,,,,,,
1,8,1,,,,,,,J.H.,,,,,.mp3,,,.mp4,,,heckewelder_1.jpg,,,,,,,,,,
1,9,1,,,,,,,"By the Rev. John Heckewelder",,,,,.mp3,,,.mp4,,,heckewelder_1.jpg,,,,,,,,,,
2,1,1,,,knepiquo,kineepikwa,snake,,"a snake",,,kineepikwa,,.mp3,,,.mp4,,,heckewelder_2.jpg,,,animals,,,,keneepikwa;ginebig,eel;snake,"Voorhis 1988;Nichols & Nyholm (1995)",Kickapoo;Ojibwe
2,2,1,,,kikunechsa,kiihkoneehsa,fish,,"a fish",,,kiihkoneehsa,,.mp3,,,.mp4,,,heckewelder_2.jpg,,,animals,,"kiihkoneehs- | Fish | n.an | ",,,,,
2,3,1,,,kichtschigámi,kihcikami,"great lake, ocean, sea",,"a lake",,,kihcikami,,.mp3,,,.mp4,,,heckewelder_2.jpg,,,,,"kihcikam- | Big Lake, Ocean | n.inan | 
-ikam | lake, body of water | n.final
kihc- | big | initial",,,,,
2,4,1,,,wikiami,wiikiaami,"house, lodge, wickiup",,"a house",,,wiikiaami,,.mp3,,,.mp4,,,heckewelder_2.jpg,,,housing,,"wiikiaam- | Dwelling, House, Lodge, Wigwam | n.inan | ",,,,,
2,5,1,,,alinta,aalinta,"some, part of",,some,,,aalinta,,.mp3,,,.mp4,,,heckewelder_2.jpg,,,,quantifier,,,a·neta;aanind,"some, part of;some, part of","Goddard & Thomason (2014);Nichols & Nyholm (1995)",Meskwaki;Ojibwe
2,6,1,,,gutewi,koteewi,fire,,fire,,,koteewi,,.mp3,,,.mp4,,,heckewelder_2.jpg,,,,,"koteew- | Fire | n.inan | ",,,,,
2,7,1,,,mannetwa,manetwa,snow,,snow,,,manetwa,,.mp3,,,.mp4,,,heckewelder_2.jpg,,,weather,,"manetw- | Snow | n.an | ",,,,,
2,8,1,,,pitelanwe,piitilaanwi,"it rains",,rain,,,peetilaanki,,.mp3,,,.mp4,,,heckewelder_2.jpg,,,weather,,"piitilaan- | It rains, it is raining | v.inan.intran | 
piit- | in this direction, coming | initial
-elaan | rain | inan.intran.final",,,,,
2,9,1,,,tschingwe,ciinkwia,thunder,,thunder,,,ciinkwia,,.mp3,,,.mp4,,,heckewelder_2.jpg,,,weather,,"ciinkwi- | Thunder being | n.an | ",,,,,
2,10,1,,,allamsanwi,alaamihsenwi,"it is windy, there is wind",,wind,,,eelaamihsenki,,.mp3,,,.mp4,,,heckewelder_2.jpg,,,weather,,"alaamhsen- | It is windy | v.inan.intran | ",,,,,
2,11,1,,,gutschichsa,kociihsa,bean,,"a bean",,,kociihsa,,.mp3,,,.mp4,,,heckewelder_2.jpg,,,food,,"kociihs- | Bean | n.an | ",,,,,
2,12,1,,,gutschichsagi,kociihsaki,beans,,beans,,,kociihsaki,,.mp3,,,.mp4,,,heckewelder_2.jpg,,,food,,"kociihs- | Bean | n.an | ",,,,,
2,13,1,,,mĩntschipi,miincipi,corn,,"Indn. corn",,,miincipi,,.mp3,,,.mp4,,,heckewelder_2.jpg,,,corn;food,,"miincip- | Corn | n.inan | ",,,,,
2,14,1,,,ẽmquanni,eemihkwaani,"squash, pumpkin",,"a pumkin",,,eemihkwaani,,.mp3,,,.mp4,,,heckewelder_2.jpg,,,,,"eemihkwaan- | Squash, pumpkin | n.inan | ",,,,,
