Page,Line,Phrase,Keyword,"Keyword Translation","Target Text","Target Modern","Target English","Target Comments","Gloss Text","Gloss English","Gloss Comments","Modern Speech","Modern Speech Comments","Audio Clip Name","Audio Start Time","Audio End Time","Video Clip Name","Video Start Time","Video End Time","Image Name",Speakers,Dialects,Semantics,Syntaxes,Stems,"Cognate Comments","Cognate Form","Cognate Translations","Cognate Sources","Cognate Languages"
1,1,1,,,,,,,"[…] la bouche ou des dents","the mouth or some teeth",,,,.mp3,,,.mp4,,,largillier_1.jpg,,,,,,,,,,
1,2,1,,,,,,,"[…] to[…] bouche luy fais baiser. minus pprie","......mouth gives him/her a kiss. [Lat., less properly]",,,,.mp3,,,.mp4,,,largillier_1.jpg,,,,,,,,,,
1,3,1,,,[…]8c8ntera,,,,"id. sed rarius","[Lat., same but rarer]",,,,.mp3,,,.mp4,,,largillier_1.jpg,,,,,,,,,,
1,4,1,,,Nit[…],,,,"je l ay fort faché, choqué, irrité.","I greatly angered him, shocked him, irritated him",,,,.mp3,,,.mp4,,,largillier_1.jpg,,,,,,,,,,
1,5,1,,,Nit8ca8a,,,,"je l'attends je l'attens.","I am waiting on him/her",,,,.mp3,,,.mp4,,,largillier_1.jpg,,,,,,,,,,
1,5,2,,,"8ahingo t8c8rani cata? ",,,,"t attendray je icy?","Shall I wait for you here?",,,,.mp3,,,.mp4,,,largillier_1.jpg,,,,,,,,,,
1,6,1,,,Nit8ca8t8,,,,"je ne serre pas fort, je debande, lasche","I do not squeeze tightly, I go soft, slack",,,,.mp3,,,.mp4,,,largillier_1.jpg,,,,,,,,,,
1,7,1,,,t8ca8te8i,,,,"peu serré. pas asses serré q̅d̅ on craint qu il ne se delie tout a fait","little tightened. not tightened enough. when one fears that it will undo completely",,,,.mp3,,,.mp4,,,largillier_1.jpg,,,,,,,,,,
1,8,1,,,Nit8capikinan,nintoohkaapikina,"I softly do something by hand to a stringlike object",,"j attache foiblement, je lasche","I connect weakly, I release, let go, relax",,,,.mp3,,,.mp4,,,largillier_1.jpg,,,,,,,,,,
1,8,2,,,"Sacant8tagane ",,,,"8g la bride a un cheval","[Lat., for example] the bridle of a horse",,,,.mp3,,,.mp4,,,largillier_1.jpg,,,,,,,,,,
1,9,1,,,t8capinti8a,,,,"l'arc est lasche, n'est pas bandé.","the bow is slack, is not strung",,,,.mp3,,,.mp4,,,largillier_1.jpg,,,,,,,,,,
1,9,2,,,Nit8capinti,nintoohkaapinti,"s/he pulls the bowstring gently, touches it","HL: perhaps nothing, but several cognates mean ""awaken"" are highly salient for me here; perhaps there's an old metaphor of ""waking up"" the bowstring through gentle touch","je n'en bande pas roide la corde","I do not draw the string of it taut",,,,.mp3,,,.mp4,,,largillier_1.jpg,,,,,,,,,,
1,10,1,,,Nit8caremig8si8a,,,,"il n a ma dit mot, ne m a point querelé","he did not say a word to me, did not argue with me at all, did not pick a fight with me at all",,,,.mp3,,,.mp4,,,largillier_1.jpg,,,,,,,,,,
1,11,1,,,"T8cata8e8a ",,,,"a peine entend on son jargon, sa langue Etrangere, il ne parle pas bien la nostre","one understands his speech with difficulty, his foreign language. He does not speak ours (i.e.,our language)",,,,.mp3,,,.mp4,,,largillier_1.jpg,,,,,,,,,,
1,12,1,,,T8catesin8i,,,,immobile,"unmoving, immobile",,,,.mp3,,,.mp4,,,largillier_1.jpg,,,,,,,,,,
1,13,1,,,t8c8sse8a,,,,"il va marche lentement","he goes, walks slowly",,,,.mp3,,,.mp4,,,largillier_1.jpg,,,,,,,,,,
1,14,1,,,t8cki8nghi,,,,"au bas du rocher de la montagne, du fossé, dans un lieu bas","at the bottom of a rock face of a mountain, of a pit, in a low place",,,,.mp3,,,.mp4,,,largillier_1.jpg,,,,,,,,,,
1,15,1,,,Nit8c8e,,,,"je parle bas.","I speak quietly",,,,.mp3,,,.mp4,,,largillier_1.jpg,,,,,,,,,,
1,15,2,,,t8c8e8a,,,,"il parle bas.","he speaks quietly",,,,.mp3,,,.mp4,,,largillier_1.jpg,,,,,,,,,,
1,16,1,,,t8c8sse8a,,,,"il va lentement.","he goes slowly",,,,.mp3,,,.mp4,,,largillier_1.jpg,,,,,,,,,,
1,16,2,,,Nit8c8ntera,,,,"je l'attens pour en deliberer, il en sera le maitre","I am waiting on him in order to deliberate, he will be the master of it/them",,,,.mp3,,,.mp4,,,largillier_1.jpg,,,,,,,,,,
1,17,1,,,t8c8ssesi8a,,,,"point touché de ce qu on luy dit, il va touj. quoyqu on luy dise","not touched at all by what one says to him. He always goes no matter what one says to him",,,,.mp3,,,.mp4,,,largillier_1.jpg,,,,,,,,,,
1,18,1,,,t8e,,,,"pour la parole","for speech",,,,.mp3,,,.mp4,,,largillier_1.jpg,,,,,,,,,,
1,18,2,,,ninegat8e,,,,"je parle seul.","I am alone",,,,.mp3,,,.mp4,,,largillier_1.jpg,,,,,,,,,,
1,18,3,,,Nimiara8it8e,,,,"je fais pitié par mes discours, pleurs gemissemens.","I cause pity with my addresses, tears, moanings",,,,.mp3,,,.mp4,,,largillier_1.jpg,,,,,,,,,,
1,20,1,,,t8kekitchi8a,,,,"ventre vuide, affamé. it. sac vuide. nob.","empty stomach, starved. [Lat., also] empty bag. animate gender",,,,.mp3,,,.mp4,,,largillier_1.jpg,,,,,,,,,,
1,21,1,,,t8kitchi8a,,,,id.,"[Lat., same]",,,,.mp3,,,.mp4,,,largillier_1.jpg,,,,,,,,,,
1,22,1,,,t8kiecac8ten8i,,,,"sac pendu et vuide","bag, hung up and empty",,,,.mp3,,,.mp4,,,largillier_1.jpg,,,,,,,,,,
1,23,1,,,t8kicaï88i,,,,"canot, chaudiere un peu percés","canoe, kettle pierced a little, with a few holes in it",,,,.mp3,,,.mp4,,,largillier_1.jpg,,,,,,,,,,
1,24,1,,,[…]8kicama8a,,,,"je vas ches luy, qui m a done un nom, a fin qu il me done q̅q̅ chose.","I am going to his house, (the one) who game me a name so that he gives me something",,,,.mp3,,,.mp4,,,largillier_1.jpg,,,,,,,,,,
1,25,1,,,Nint8ki,,,,"je remue","I move",,,,.mp3,,,.mp4,,,largillier_1.jpg,,,,,,,,,,
1,25,2,,,t8kise8a,,,,"il ne remue pas","he does not move",,,,.mp3,,,.mp4,,,largillier_1.jpg,,,,,,,,,,
1,26,1,,,T8ki,,,,vide,empty,,,,.mp3,,,.mp4,,,largillier_1.jpg,,,,,,,,,,
1,26,2,,,t8ki8i,,,,"remument foible. tranquille.","weak, peaceful movement",,,,.mp3,,,.mp4,,,largillier_1.jpg,,,,,,,,,,
1,26,3,,,t8t8ki8i,,,,"grand mouvem—.","big movement",,,,.mp3,,,.mp4,,,largillier_1.jpg,,,,,,,,,,
1,27,1,,,Nit8kica8a,,,,"je le touche.","I touch him",,,,.mp3,,,.mp4,,,largillier_1.jpg,,,,,,,,,,
1,27,2,,,Nit8kicag8a,,,,"il me touche","he touches me",,,,.mp3,,,.mp4,,,largillier_1.jpg,,,,,,,,,,
1,28,1,,,"t8kicansi8a achiski8i",,,,"il ne touche pas a terre.","he does not touch the earth",,,,.mp3,,,.mp4,,,largillier_1.jpg,,,,,,,,,,
1,28,2,,,"areni akiski8i t8kicansi8a",,,,"il va extremement viste Metaphor","he is going extremely fast. Metaphor",,,,.mp3,,,.mp4,,,largillier_1.jpg,,,,,,,,,,
1,29,1,,,T8kicate8ara,,,,"choses qui se touchent","things that touch each other",,,,.mp3,,,.mp4,,,largillier_1.jpg,,,,,,,,,,
1,30,1,,,Nit8kicatep8a,,,,"je luy baise les pieds.","I kiss his/her feet",,,,.mp3,,,.mp4,,,largillier_1.jpg,,,,,,,,,,
1,30,2,,,Nit8kichine,,,,"je tombe doucement","I fall gently",,,,.mp3,,,.mp4,,,largillier_1.jpg,,,,,,,,,,
1,31,1,,,Nit8kic8ntera,,,,"je luy fais toucher","I touch him/her",,,,.mp3,,,.mp4,,,largillier_1.jpg,,,,,,,,,,
1,31,2,,,Nit8kic8ntet8,,,,,"(I touch him/her)",,,,.mp3,,,.mp4,,,largillier_1.jpg,,,,,,,,,,
1,32,1,,,Nit8kic8ra,,,,id.,"[Lat., same] (I touch him/her)",,,,.mp3,,,.mp4,,,largillier_1.jpg,,,,,,,,,,
1,33,1,,,t8kica8te8i,,,,"peu serré, attaché, foiblement","not tight, connected, weakly",,,,.mp3,,,.mp4,,,largillier_1.jpg,,,,,,,,,,
1,34,1,,,Nit8kic8raïna,,,,"je luy touche la robe","I touch his robe",,,,.mp3,,,.mp4,,,largillier_1.jpg,,,,,,,,,,
1,35,1,,,Nit8kiecapicaha8a,,,,"je fais plier une corde bien tendue, par […] poids que je mets desus, it en jettant q̅q̅e chose contre 1a. vox 2a. autem tangend[…]","I bend a string quite taut, by [the] weight that I put down, [Lat., same] in throwing something against [Lat., first person (gram.); second person (gram.), however, for/by touching",,,,.mp3,,,.mp4,,,largillier_1.jpg,,,,,,,,,,
1,35,2,,,"nit8kiecapi kicah8a",,,,"je fais plier une corde bien tendue, par […] poids que je mets desus, it en jettant q̅q̅e chose contre 1a. vox 2a. autem tangend[…]","I bend a string quite taut, by [the?] weight that I put down, [Lat., same] in throwing something against [Lat., first person (gram.); second person (gram.)], however, for/by touching]]",,,,.mp3,,,.mp4,,,largillier_1.jpg,,,,,,,,,,
1,37,1,,,Nit8kiecapikichima,,,"sset8 is written below the ending of this word (…chima). can't tell if it's an alternate to this or to the entry below
 -Carole Katz //","je tens une corde sans la bander.","I stretch a string without bending it",,,,.mp3,,,.mp4,,,largillier_1.jpg,,,,,,,,,,
1,37,2,,,T8kieca[…],,,,,,,,,.mp3,,,.mp4,,,largillier_1.jpg,,,,,,,,,,
1,38,1,,,[…]sikissen8i,,,,"corde tendue lache","stretched, lax string",,,,.mp3,,,.mp4,,,largillier_1.jpg,,,,,,,,,,
1,38,2,,,t8kiecapicac8tehin8a,,,,id.,"[Lat., same] (stretched, lax string)",,,,.mp3,,,.mp4,,,largillier_1.jpg,,,,,,,,,,
2,1,1,,,T8kie,,,,"peut estre","maybe, perhaps",,,,.mp3,,,.mp4,,,largillier_2.jpg,,,,,,,,,,
