Page,Line,Phrase,Keyword,"Keyword Translation","Target Text","Target Modern","Target English","Target Comments","Gloss Text","Gloss English","Gloss Comments","Modern Speech","Modern Speech Comments","Audio Clip Name","Audio Start Time","Audio End Time","Video Clip Name","Video Start Time","Video End Time","Image Name",Speakers,Dialects,Semantics,Syntaxes,Stems,"Cognate Comments","Cognate Form","Cognate Translations","Cognate Sources","Cognate Languages"
56,1,1,Jonglerie,shamanizing,,,,,,,,,,.mp3,,,.mp4,,,leboullenger_56.jpg,,,,,,,,,,
56,2,1,Jonglerie,shamanzing,"Apir8ssa manet8 penara8a",,,,"un enfant qu on offre dedie au manit8","a baby, child that is offered, consecrated to the manito",,,,.mp3,,,.mp4,,,leboullenger_56.jpg,,,,,,,,,,
56,3,1,Jonglerie,shamanizing,capinai8penara8a,,,,"Sur lequel on invoque le manit8","on whom the manito is invoked",,,,.mp3,,,.mp4,,,leboullenger_56.jpg,,,,,,,,,,
56,4,1,Jonglerie,,"8apan8i penara8a ",,,,"on invoque sur lui Le point du jour","one invokes him at the break of day",,,,.mp3,,,.mp4,,,leboullenger_56.jpg,,,,,,,,,,
56,5,1,Jonglerie,,"memerisessisi8a mite8a",,,,"un grand jongleur il ne craint persone qu un autre Jongleur lui fasse","a great shaman, he fears no one [""no one"" for ""nothing""?] that another shaman does to him",,,,.mp3,,,.mp4,,,leboullenger_56.jpg,,,,,,,,,,
56,6,1,Jonglerie,shamanizing,Jakipi8ina,,,,"on souffle sur une persone pour le faire mourir","one breathes upon a person to make him die",,,,.mp3,,,.mp4,,,leboullenger_56.jpg,,,,,,,,,,
56,7,1,Jonglerie,shamanizing,Seca8akita,,,,"ils soufflent","they breathe",,,,.mp3,,,.mp4,,,leboullenger_56.jpg,,,,,,,,,,
56,8,1,Jonglerie,shamanizing,"8iratta8a8a ",,,,"il est entouré","he is surrounded",,,,.mp3,,,.mp4,,,leboullenger_56.jpg,,,,,,,,,,
56,8,2,Jonglerie,shamanizing,"chag8sisi8ari nirac8nta nikiasc8era8a nicai8ra8a",,,,,(shamanizing),,,,.mp3,,,.mp4,,,leboullenger_56.jpg,,,,,,,,,,
56,9,1,Jonglerie,shamanizing,"mantakisine8a mic8akisine8a",,,,"soulier de Jongleur","shaman shoe",,,,.mp3,,,.mp4,,,leboullenger_56.jpg,,,,,,,,,,
56,10,1,Jonglerie,shamanizing,ap8takisine8a,,,,"Le poil en dehors","the fur on the outside (of the shoe)",,,,.mp3,,,.mp4,,,leboullenger_56.jpg,,,,,,,,,,
56,10,2,Jonglerie,shamanizing,"ap8tenanga pemitching8ekira",,,,,(shamanizing),,,,.mp3,,,.mp4,,,leboullenger_56.jpg,,,,,,,,,,
56,11,1,Jonglerie,shamanizing,"c8ssene8kisine8sse8a n8rimeng8ekisineta menta mentarecanga",,,,,(shamanizing),,,,.mp3,,,.mp4,,,leboullenger_56.jpg,,,,,,,,,,
56,12,1,Jonglerie,shamanizing,"mac8ai rapiki8sseta",,,,"La peau d ours sur la teste","the bear skin on the head",,,,.mp3,,,.mp4,,,leboullenger_56.jpg,,,,,,,,,,
56,12,2,Jonglerie,shamanizing,"mec8i mec8i rakit8nga c8etaraca",,,,,(shamanizing),,,,.mp3,,,.mp4,,,leboullenger_56.jpg,,,,,,,,,,
56,13,1,Jonglerie,shamanizing,"pemirakita ",,,,"qui chante en marchant","(one) who sings while walking",,,,.mp3,,,.mp4,,,leboullenger_56.jpg,,,,,,,,,,
56,13,2,Jonglerie,shamanizing,ma8ema8ei88a,,,,"il fait Le loup","he acts like a wolf",,,,.mp3,,,.mp4,,,leboullenger_56.jpg,,,,,,,,,,
56,14,1,Jonglerie,shamanizing,tchirata8erita,,,,"qui chante bien","(one) who sings well",,,,.mp3,,,.mp4,,,leboullenger_56.jpg,,,,,,,,,,
56,14,2,Jonglerie,shamanizing,mac8mac8i88a,,,,"il fait L'ours","he acts like a bear",,,,.mp3,,,.mp4,,,leboullenger_56.jpg,,,,,,,,,,
56,15,1,Jonglerie,shamanizing,c8ssine8chag8e8a,,,,"rougi a la bouche","reddened around the mouth",,,,.mp3,,,.mp4,,,leboullenger_56.jpg,,,,,,,,,,
56,15,2,Jonglerie,shamanizing,"irinimite8a mangac8irini8a",,,,,(shamanizing),,,,.mp3,,,.mp4,,,leboullenger_56.jpg,,,,,,,,,,
56,16,1,Jonglerie,shamanizing,memerichi8aki,,,,"Les manit8s","the manitos",,,,.mp3,,,.mp4,,,leboullenger_56.jpg,,,,,,,,,,
56,17,1,Jonglerie,shamanizing,"ireri8aki 8irer8ki p8neri8aki",,,,"ils on achevé ils vont Jongler","they have finished, they are going to shamanize",,,,.mp3,,,.mp4,,,leboullenger_56.jpg,,,,,,,,,,
56,18,1,Jonglerie,shamanizing,c8essang8ng8eta,,,,"visage terrible","terrible face",,,,.mp3,,,.mp4,,,leboullenger_56.jpg,,,,,,,,,,
56,19,1,Jonglerie,shamanizing,"gagarassa caraking8eta 8e8assepicaraking8eta",,,,"d un regard terrible","with a terrible look",,,,.mp3,,,.mp4,,,leboullenger_56.jpg,,,,,,,,,,
56,20,1,Jonglerie,shamanizing,Erarante8araking8eta,,,,"des yeux pleins de feu","eyes full of fire",,,,.mp3,,,.mp4,,,leboullenger_56.jpg,,,,,,,,,,
56,20,2,Jonglerie,shamanizing,kin8ic8reta,,,,"nez long","long nose",,,,.mp3,,,.mp4,,,leboullenger_56.jpg,,,,,,,,,,
56,21,1,Jonglerie,shamanizing,"a8essinsinga Echic8reta",,,,"nez d oiseau","bird nose",,,,.mp3,,,.mp4,,,leboullenger_56.jpg,,,,,,,,,,
56,21,2,Jonglerie,shamanizing,8acatec8reta,,,,"Le nez croche","crooked nose",,,,.mp3,,,.mp4,,,leboullenger_56.jpg,,,,,,,,,,
56,22,1,Jonglerie,shamanizing,kinepic8e8irissita,,,,"cheveux de serpent","snake hair",,,,.mp3,,,.mp4,,,leboullenger_56.jpg,,,,,,,,,,
56,23,1,Jonglerie,shamanizing,"kin8erikit8nga metcharakit8nga",,,,"une grande gueule bien fendue","a large and very split mouth",,,,.mp3,,,.mp4,,,leboullenger_56.jpg,,,,,,,,,,
56,24,1,Jonglerie,shamanizing,kecan8icachita,,,,"des grifes au bout des doits a la place des ongles","claws at the ends of the fingers in the place of nails",,,,.mp3,,,.mp4,,,leboullenger_56.jpg,,,,,,,,,,
56,25,1,Jonglerie,,kecan8irikirinchita,,,,"des doits longs crochus","long, claw-like fingers",,,,.mp3,,,.mp4,,,leboullenger_56.jpg,,,,,,,,,,
56,26,1,Jonglerie,shamanizing,"kecan8icateta ",,,,"grises ongles des pieds crochus","grey claw-like toenails",,,,.mp3,,,.mp4,,,leboullenger_56.jpg,,,,,,,,,,
56,26,2,Jonglerie,shamanizing,mere8icateta,,,,"vilains pieds","ugly feet",,,,.mp3,,,.mp4,,,leboullenger_56.jpg,,,,,,,,,,
56,27,1,Jonglerie,shamanizing,kecan8iricateta,,,,"des doits de pieds Longs et crochus","long and claw-like toes",,,,.mp3,,,.mp4,,,leboullenger_56.jpg,,,,,,,,,,
56,28,1,Jonglerie,shamanizing,m8ns8igane8a,,,,"Jambe de Chevreuil","deer leg(s)",,,,.mp3,,,.mp4,,,leboullenger_56.jpg,,,,,,,,,,
56,28,2,Jonglerie,shamanizing,"m8ns8nghigi ganeta",,,,,"(deer legs)",,,,.mp3,,,.mp4,,,leboullenger_56.jpg,,,,,,,,,,
56,28,3,Jonglerie,shamanizing,"m8ns8ngaichi ganeta",,,,,"(deer legs)",,,,.mp3,,,.mp4,,,leboullenger_56.jpg,,,,,,,,,,
56,29,1,Jonglerie,shamanizing,"m8ns8kigi cateta",,,,"pied de chev. ","deer foot",,,,.mp3,,,.mp4,,,leboullenger_56.jpg,,,,,,,,,,
56,29,2,Jonglerie,shamanizing,"m8ns8nga ichicac8nga",,,,,(shamanizing),,,,.mp3,,,.mp4,,,leboullenger_56.jpg,,,,,,,,,,
56,30,1,Jonglerie,shamanizing,"irinans8nghigi 8ireta",,,,"cornes de beuf","bison horns",,,,.mp3,,,.mp4,,,leboullenger_56.jpg,,,,,,,,,,
56,30,2,Jonglerie,shamanizing,e8i8irita,,,,"il a des Cornes Cornu","they have horns, horned",,,,.mp3,,,.mp4,,,leboullenger_56.jpg,,,,,,,,,,
56,31,1,Jonglerie,shamanizing,"minsaki c8essang8sita a8i8nghigi",,,,"tout Le Corps horrible","the entire horrible body",,,,.mp3,,,.mp4,,,leboullenger_56.jpg,,,,,,,,,,
56,32,1,"Passion de Jesus C.","Jesus Christ's passion",,,,,,,,,,.mp3,,,.mp4,,,leboullenger_56.jpg,,,,,,,,,,
56,33,1,"Passion de Jesus C.","Jesus Christ's passion","tapichinghirechinga akiski8nghigi",,,,"la face contre ter","his face against the ground",,,,.mp3,,,.mp4,,,leboullenger_56.jpg,,,,,,,,,,
56,34,1,"Passion de Jesus C.","Jesus Christ's passion","nininterarasca8a nisecami atechig8eganinghigi",,,,,,,,,.mp3,,,.mp4,,,leboullenger_56.jpg,,,,,,,,,,
56,35,1,"Passion de Jesus C.","Jesus Christ's passion","nirarac?c8nsa nig8tching8eiapai8ra nisecami",,,,"Je lui crache au visage","I spit on his face",,,,.mp3,,,.mp4,,,leboullenger_56.jpg,,,,,,,,,,
56,36,1,"Passion de Jesus C.","Jesus Christ's passion","aremic8essisi8a massatching8episi8a p8tching8eiaperintchi?",,,,"il ne tourne","he turns not...",,,,.mp3,,,.mp4,,,leboullenger_56.jpg,,,,,,,,,,
56,37,1,"Passion de Jesus C.","Jesus Christ's passion","pecan8eh8nta ressepiking8eh8nta hag8ta",,,,"soufflete ","slapped in the face",,,,.mp3,,,.mp4,,,leboullenger_56.jpg,,,,,,,,,,
56,37,2,"Passion de Jesus C.","Jesus Christ's passion",pepakinam8ta,,,,,"(Jesus Christ's passion)",,,,.mp3,,,.mp4,,,leboullenger_56.jpg,,,,,,,,,,
56,38,1,"Passion de Jesus C.","Jesus Christ's passion","mac8nam8nta ",,,,"battu a coups de point","pummeled ","""point"" for ""poing""",,,.mp3,,,.mp4,,,leboullenger_56.jpg,,,,,,,,,,
56,38,2,"Passion de Jesus C.","Jesus Christ's passion",nimac8nan,,,,"Je ferme","I close (my hand to make a fist)",,,,.mp3,,,.mp4,,,leboullenger_56.jpg,,,,,,,,,,
56,39,1,"Passion de Jesus C.","Jesus Christ's passion",papic8ng8eh8nta,,,,"battue au visage a coups de poing","beaten on the face with a fist",,,,.mp3,,,.mp4,,,leboullenger_56.jpg,,,,,,,,,,
56,40,1,"Passion de Jesus C.","Jesus Christ's passion",metaki8i8sseta,,,,Livide,"deathly pale",,,,.mp3,,,.mp4,,,leboullenger_56.jpg,,,,,,,,,,
56,41,1,"Passion de Jesus C.","Jesus Christ's passion","pec8amissit8neninta m8nit8neninta",,,,"on lui arrache la barbe","his beard is pulled out",,,,.mp3,,,.mp4,,,leboullenger_56.jpg,,,,,,,,,,
56,42,1,"Passion de Jesus C.","Jesus Christ's passion","nin8hana nimiraki pec8a missit8nenitchiki",,,,,"(Jesus Christ's passion)",,,,.mp3,,,.mp4,,,leboullenger_56.jpg,,,,,,,,,,
