Page,Line,Phrase,Keyword,"Keyword Translation","Target Text","Target Modern","Target English","Target Comments","Gloss Text","Gloss English","Gloss Comments","Modern Speech","Modern Speech Comments","Audio Clip Name","Audio Start Time","Audio End Time","Video Clip Name","Video Start Time","Video End Time","Image Name",Speakers,Dialects,Semantics,Syntaxes,Stems,"Cognate Comments","Cognate Form","Cognate Translations","Cognate Sources","Cognate Languages"
103,4,1,,,mīlī́lᴀn,miililaani,"I give to you","HL: the ᴀ vowel receives a double underline","I give you",,,,,.mp3,,,.mp4,,,michelson01_03.jpg,"George Finley",,,,"ahkaapat- | It is easy | v.inan.intran | 
ahkwee- | woman, female | v.an.intran
-aacimwi | report, relate | an.intran.final",,,,,
103,5,1,,,mīlīlṓ,miililo,"Give to me!",,"Give thou me!",,,,,.mp3,,,.mp4,,,michelson01_03.jpg,"George Finley",,,,,,,,,
103,6,1,,,mīlīkṓ,miiliko,"Give (pl.) to me!",,"Give ye me!",,,,,.mp3,,,.mp4,,,michelson01_03.jpg,"George Finley",,,,,,,,,
103,7,1,,,mīlītᵃ‘,miilita,"he gives to me",,"he gives me",,,,,.mp3,,,.mp4,,,michelson01_03.jpg,,,,,,,,,,
103,8,1,,,nimīlikwa‘,nimiilikwa,"he gives to me",,"he gives me",,,,,.mp3,,,.mp4,,,michelson01_03.jpg,,,,,,,,,,
103,9,1,,,mīlātciki,miilaaciki,"they give him",,"they gave me (= they who give him)",,,,,.mp3,,,.mp4,,,michelson01_03.jpg,,,,,,,,,,
103,10,1,,,nimīlikōkī́,,,,"they give me",,,,,.mp3,,,.mp4,,,michelson01_03.jpg,,,,,,,,,,
103,11,1,,,kiwâpᴀmikunānᴀkī́,,,,"they looked at us (incl.)",,,,,.mp3,,,.mp4,,,michelson01_03.jpg,,,,,,,,,,
103,12,1,,,pyā́ta‘,,,,"he is coming",,,,,.mp3,,,.mp4,,,michelson01_03.jpg,,,,,,,,,,
103,13,1,,,pyä́wa‘,,,,"he is coming",,,,,.mp3,,,.mp4,,,michelson01_03.jpg,,,,,,,,,,
103,14,1,,,pyäwâkī́,,,,"they are coming",,,,,.mp3,,,.mp4,,,michelson01_03.jpg,,,,,,,,,,
103,15,1,,,pyā́tciki,,,,"they are coming",,,,,.mp3,,,.mp4,,,michelson01_03.jpg,,,,,,,,,,
103,16,1,,,pyäto‘säwá‘,,,,"he com[es]",,,,,.mp3,,,.mp4,,,michelson01_03.jpg,,,,,,,,,,
103,17,1,,," ‘apitosäwá‘",,,,"he walked on",,,,,.mp3,,,.mp4,,,michelson01_03.jpg,,,,,,,,,,
103,18,1,,," ‘Alimo‘säwá‘",,,,"he walked yonder",,,,,.mp3,,,.mp4,,,michelson01_03.jpg,,,,,,,,,,
