Page,Line,Phrase,Keyword,"Keyword Translation","Target Text","Target Modern","Target English","Target Comments","Gloss Text","Gloss English","Gloss Comments","Modern Speech","Modern Speech Comments","Audio Clip Name","Audio Start Time","Audio End Time","Video Clip Name","Video Start Time","Video End Time","Image Name",Speakers,Dialects,Semantics,Syntaxes,Stems,"Cognate Comments","Cognate Form","Cognate Translations","Cognate Sources","Cognate Languages"
13,1,1,âge,age,"taneniss8i pip8n8eïani?","taani niswi pipoonweeyani","how old are you?",,"quel âge as tu?","how old are you?",,"taaninhswi peepoonweeyani",,.mp3,,,.mp4,,,Pinet013.jpg,,,,"WH question",,,,,,
13,2,1,âge,age,"v [Lat., or] pip8n8aghisiani","[taani niswi] pipoonwakisiyani","how old are you?",,"quel âge as tu?","how old are you?",,"taaninhswi pipoonwakisiyani",,.mp3,,,.mp4,,,Pinet013.jpg,,,,"WH question",,,,,,
13,2,2," âge",age,pip8n8emiani?,,,,"quel âge as tu?","how old are you?",,,,.mp3,,,.mp4,,,Pinet013.jpg,,,,,,,,,,
13,4,1," âge",age,"taniss8i matenamani?",,,,"s il á plus de 20 ans.","if he is older than 20; is he older than 20?",,,,.mp3,,,.mp4,,,Pinet013.jpg,,,numbers,"WH question",,,,,,
13,5,1," âge",age,"niss8i matenamani.",,,,"J'ay 30 ans v.g.  ","I am 30 years old, [Lat., for example]",,,,.mp3,,,.mp4,,,Pinet013.jpg,,,,,,,,,,
13,6,1,âge,age,ni8itchipip8n8entimina,niwiicipepoonweentiimina,"we are the same age as each other",,"nous somme de mesme âge que luy","we are the same age as he is (trans. note: this is not Pinet's handwriting. It appears to be that of Jacques Gravier)",,,,.mp3,,,.mp4,,,Pinet013.jpg,,,,reciprocal,,,,,,
13,6,2,âge,age,,,,,"j ay un mesme cors [sic., corps] avec luy","I am of the same body as he",,,,.mp3,,,.mp4,,,Pinet013.jpg,,,,,,,,,,
13,7,1," âge",age,"ni8itchinikintimina. X...",,,,"nous sommes de mesme âge","we are the same age",,,,.mp3,,,.mp4,,,Pinet013.jpg,,,,,,,,,,
13,8,1,âge,age,ni8itchipip8n8emamina,,,,"nous sommes de mesme âge que luy","we are the same age as he is (trans. note:  The Illinois phrase is in Pinet's hand, but the French phrase is not Pinet's handwriting. It appears to be in that of Jacques Gravier)",,,,.mp3,,,.mp4,,,Pinet013.jpg,,,,,,,,,,
13,9,1,âge,age,"rassapahe penarintchiki","laahsaapaahi peenaalinciki","they were born at the same time",,"ils sont de mesme âge","they are the same age",,,,.mp3,,,.mp4,,,Pinet013.jpg,,,,,,,,,,
13,10,1," âge",age,"v. [Lat., or] 8itchinikinti8aki",,,,"ils sont de mesme âge","they are the same age",,,,.mp3,,,.mp4,,,Pinet013.jpg,,,,,,,,,,
13,10,2," âge",age,"v. [Lat., or] rassapiiantass8i pip8n8akisi8aki",,,,"ils sont de mesme âge","they are the same age",,,,.mp3,,,.mp4,,,Pinet013.jpg,,,,,,,,,,
13,11,1," âge",age,"v. [Lat., or] rassapi pip8 etc.",,,,"ils sont de mesme âge","they are the same age",,,,.mp3,,,.mp4,,,Pinet013.jpg,,,,,,,,,,
13,12,1,âge,age,nitachimima,nintahšiimimaa,"I have him/her for a younger sibling",,"je suis plus âgé que luy seu je l'ay pour cadet","I am older than him [Lat. or] I have him for a younger sibling",,,,.mp3,,,.mp4,,,Pinet013.jpg,,,,,,,,,,
13,14,1,âge,age,"taneniss8i pip8n8e cata ichinag8singhi Kig.","taaninhswi pipoonwe kata...",,,"de quel aage sera t on au ciel","What age will one be in heaven?",,,,.mp3,,,.mp4,,,Pinet013.jpg,,,,"WH question",,,,,,
13,15,1,aages,ages,,,,,,"trans. note: The double aa- spelling is an old way of writing from the 16th and 17th centuries that goes back to the Middle Ages. The vowel was long. When the second a was dropped from the orthography, the first a was surmounted by a circumflex.",,,,.mp3,,,.mp4,,,Pinet013.jpg,,,,,,,,,,
13,16,1,aages,ages,ski8chi8a,skíyošiwa,"old man",,"un viellard","an old man",,kiyošia,,.mp3,,,.mp4,,,Pinet013.jpg,,,,,"kiyoši- | Old Man | n.an | ",,,,,
13,17,1,aages,ages,"ni8i pip8nde nitachimima",,,,"je suis plus vieux q. luy de 4 ans, mon cadet de 4 ans.","I am older than he by 4 years, my younger sibling by 4 years",,,,.mp3,,,.mp4,,,Pinet013.jpg,,,,,,,,,,
13,18,1,aages,ages,"nakanak8a --v empa8nangha--",nakaanakwa,"middle aged or oldish man",,"un ho[mm]e desia âgé","an already elderly man",,nakaanakwa,,.mp3,,,.mp4,,,Pinet013.jpg,,,,,"nakaanakw- | middle-aged, oldish man | n.an | 
nakaan- | old | initial",,;nukāunukwau,";'elderly man'",;Trowbridge,;Miami-Illinois
13,19,1,aages,ages,"a8enna teberin ...X... empa8nanghi. neïac8ipi8aki. eïac8iti8i apep8nema. in8kte airecabasi8aki",aweena...,,,"leurs aages sont differens et sont freres","their ages are different and (they) are brothers",,,,.mp3,,,.mp4,,,Pinet013.jpg,,,,,,,,,,
13,21,1,aages,ages,nakanak8nsa,nakaanakoonsa,"middle aged man",,"entre deux ages",middle-aged,,nakaanakoonsa,,.mp3,,,.mp4,,,Pinet013.jpg,,,,diminutive,,,;nakanakonsa,";'a middle-aged man’",";Jacob Dunn",;Miami-Illinois
13,22,1,aages,ages,"michi niss8 matenansig8i",,"he is not yet 30 years old",,"avant qu'il eût 30 ans","before he was 30",,,,.mp3,,,.mp4,,,Pinet013.jpg,,,,,,,,,,
13,23,1,aages,ages,"naitehaganinghi 8ha 8iss8atenamang8a",,,,"viellissant dans la pieté","getting old in piety",,,,.mp3,,,.mp4,,,Pinet013.jpg,,,,,,,,,,
13,24,1,aages,ages,k8i8a,kwiiwa,,"HL: official translation for this in etymological dictionary is 'young man, adult boy'","un ho̅e marié. ce qui se dit aussi d un ho̅e age ce qu n est pas marié. il ne le suis pas mais il suit en âge.","a married man, which is also said of an elderly man who is not married. He is not so, but he follows in age",,,,.mp3,,,.mp4,,,Pinet013.jpg,,,,,,,,,,
13,26,1,aages,ages,nik8i8i,ninkwiiwi,"I am a young man",,,,,kweewiaani,,.mp3,,,.mp4,,,Pinet013.jpg,,,,,,,,,,
13,27,1,aages,ages,k8i8nsa,kwiiyoonsa,"young man",,"un jeune ho[mm]e fait","a full-grown young man",,,,.mp3,,,.mp4,,,Pinet013.jpg,,,,,,,,,,
13,27,2,aages,ages,"v. k8i8ntessa",kwiiyontehsa,"young man",,,"[Lat., or] (a full-grown young man)",,,,.mp3,,,.mp4,,,Pinet013.jpg,,,,,,,,,,
13,28,1,aages,ages,k8ï8ssa,kwiiwihsa,"a boy","an <i> is written above the 2nd <8>; <k8ï8issa> probably intended","un garçon","a boy",,kwiiwihsa,,.mp3,,,.mp4,,,Pinet013.jpg,,,,,"kwiiwihs- | Young boy | n.an.dim | ",,,,,
13,29,1,aages,ages,k8i8ssensa,kwiiwihseensa,"a little boy",,"un petit garçon","a little boy",,kwiiwihseensa,,.mp3,,,.mp4,,,Pinet013.jpg,,,,,"kwiiwihs- | Young boy | n.an.dim | ",,,,,
