Page,Line,Phrase,Keyword,"Keyword Translation","Target Text","Target Modern","Target English","Target Comments","Gloss Text","Gloss English","Gloss Comments","Modern Speech","Modern Speech Comments","Audio Clip Name","Audio Start Time","Audio End Time","Video Clip Name","Video Start Time","Video End Time","Image Name",Speakers,Dialects,Semantics,Syntaxes,Stems,"Cognate Comments","Cognate Form","Cognate Translations","Cognate Sources","Cognate Languages"
5,17,1,,,Meearmeeār,myaamia,Miami,,[Miami],,,myaamia,,.mp3,,,.mp4,,,trowbridge_5.jpg,,,"tribe names",,,,,,,
5,17,2,,,Meemeeār,miimia,"pigeon, dove",,pigeon,,.,miimia,,.mp3,,,.mp4,,,trowbridge_5.jpg,,,birds,,"miimi- | Mourning dove (Zenaida marcroura) | n.an | ",,,,,
6,15,1,,,Wiiyoakēētonwee,waayokihtanwi,whirlpool,,whirlpool(?),,,,,.mp3,,,.mp4,,,trowbridge_6.jpg,,,,,,,,,,
7,1,1,,,Wiiyoakēētonwau,,,,"people from the village founded by Wiiyoakēētonwee",,,,,.mp3,,,.mp4,,,trowbridge_7.jpg,,,,,,,,,,
7,2,1,,,Wiiyāūtonoa,waayaahtanwa,"Wea person",,Wea,,,,,.mp3,,,.mp4,,,trowbridge_7.jpg,,,"tribe names",,"waayaahtanw- | Wea person | n.an | ",,,,,
7,3,1,,,Wiiyautōnoakee,waayaahtanooki,"Weas; Wea people",,Weas,,,waayaahtanooki,,.mp3,,,.mp4,,,trowbridge_7.jpg,,,"tribe names",,"waayaahtanw- | Wea person | n.an | ",,,,,
7,7,1,,,Piiyūnkeshau,peeyankihšia,"Piankashaw; Piankashaw person",,Piankeshaw,,,peeyankihšia,,.mp3,,,.mp4,,,trowbridge_7.jpg,,,"tribe names",,"peeyankihši- | Piankashaw person | n.an | ",,,,,
7,8,2,,,Piiyunkeshaūkee,peeyankihšiaki,"Piankeshaws; Piankeshaw people",,Piankeshaws,,,peeyankihšiaki,,.mp3,,,.mp4,,,trowbridge_7.jpg,,,"tribe names",,"peeyankihši- | Piankashaw person | n.an | ",,,,,
7,10,1,,,Tshipkohkeeoāngee,aciipihkahkionki,"'root place'; Vincennes, IN",,"“literally “at the root”” / now known as Vincennes",,,aciipihkahkionki,,.mp3,,,.mp4,,,trowbridge_7.jpg,,,"place name",locative,,,,,,
7,12,1,,,Kohkōhkee,kaahkaahkia,Kaskaskia,,"people from Tshipkohkeeoānge, Kaskaskia",,,kaahkaahkia,,.mp3,,,.mp4,,,trowbridge_7.jpg,,,"tribe names",,,,,,,
7,16,1,,,Maumawaazaūkee,,,,"Crying Children (?)",,,,,.mp3,,,.mp4,,,trowbridge_7.jpg,,,,,,,,,,
8,12,1,,,Waupeekomēēkee,waapikamiiki,"White River",,"White water",,,,,.mp3,,,.mp4,,,trowbridge_8.jpg,,,,,,,,,,
